epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.733,0,117.22,0,0,0,0,0,0,182.842,0,0.000360588,0.000360588,0.000360588
2,576.176,0,95.391,0,0,0,0,0,0,133.823,0,0.000716449,0.000716449,0.000716449
3,854.657,0,84.1266,0,0,0,0,0,0,656.966,0,0.00105764,0.00105764,0.00105764
4,1132.07,0,73.2594,0,0,0,0,0,0,164.152,0,0.00104501,0.00104501,0.00104501
5,25342.1,0,62.8676,0,0,0,0,0,0,97.3046,0,0.00102301,0.00102301,0.00102301
6,25625.1,0,53.7136,0,0,0,0,0,0,84.0538,0,0.00100101,0.00100101,0.00100101
7,25905.3,0,45.2903,0,0,0,0,0,0,88.208,0,0.000979013,0.000979013,0.000979013
8,26177.5,0,37.6072,0,0,0,0,0,0,76.309,0,0.000957015,0.000957015,0.000957015
9,26453.7,0,31.0199,0,0,0,0,0,0,49.688,0,0.000935018,0.000935018,0.000935018
10,26734.9,0,25.3903,0,0,0,0,0,0,38.7976,0,0.00091302,0.00091302,0.00091302
11,27050.9,0,20.5859,0,0,0,0,0,0,29.6092,0,0.000891022,0.000891022,0.000891022
12,27378.1,0,16.5858,0,0,0,0,0,0,24.1228,0,0.000869024,0.000869024,0.000869024
13,27694.2,0,13.3378,0,0,0,0,0,0,19.0947,0,0.000847026,0.000847026,0.000847026
14,28023.5,0,10.6629,0,0,0,0,0,0,14.9036,0,0.000825029,0.000825029,0.000825029
