epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.7546,1.50629,0.44298,1,1.30175,0.000360588,0.000360588,0.000360588
2,61.4987,1.07129,0.75,1,0.70306,0.00065856,0.00065856,0.00065856
3,89.8283,0.76607,0.72368,1,0.73236,0.000883206,0.000883206,0.000883206
4,121.711,0.55802,0.8114,1,0.45822,0.000781033,0.000781033,0.000781033
5,155.137,0.47836,0.83333,1,0.3877,0.000671044,0.000671044,0.000671044
6,187.801,0.40772,0.81579,1,0.4662,0.000561055,0.000561055,0.000561055
7,216.658,0.33431,0.87719,1,0.36086,0.000451066,0.000451066,0.000451066
8,245.257,0.32963,0.85965,1,0.37388,0.000341077,0.000341077,0.000341077
9,273.978,0.27465,0.85526,1,0.3291,0.000231088,0.000231088,0.000231088
10,302.887,0.26452,0.86404,1,0.31568,0.000121099,0.000121099,0.000121099
